message,label
hello there,router
hi,router
how are you,router
who are you,router
help me,router
what can you do,router
good morning,router
thanks,router
bye,router
explain this code,query
how does the auth middleware work,query
where is the user model defined,query
find all references to User,query
what is the project structure,query
show me the main function,query
list all controllers,query
how do I run tests,query
where are the templates stored,query
implement a new login feature,editor
create a user controller,editor
add a new endpoint for search,editor
fix the bug in the payment service,editor
refactor the logging module,editor
write a test for the auth service,editor
update the readme,editor
delete the old migration file,editor
change the button color to red,editor
optimize the database query,editor
research best practices for go error handling,research
how to implement oauth2 in go,research
what is the difference between grpc and rest,research
search for libraries for pdf generation,research
find documentation on gin framework,research
compare postgres and mysql,research
latest features of go 1.22,research
how to deploy to aws lambda,research
review this pull request,review
check for security vulnerabilities,review
analyze the code quality,review
audit the dependencies,review
is this code safe,review
look for bugs in main.go,review
review my changes,review
critique this function,review
can you check for memory leaks,review
create a new file called utils.go,editor
remove the unused import,editor
rename the variable x to total,editor
extract this block into a function,editor
add error handling here,editor
explain the difference between map and slice,research
what is dependency injection,research
how to use docker compose,research
search for react tutorials,research
where is the config file,query
show me the database schema,query
list all public functions,query
who calls this function,query
explain the logic in auth.go,query
hello,router
greetings,router
status,router
system check,router
what time is it,router
good afternoon,router
hey there,router
sup,router
thank you,router
appreciate it,router
got it,router
ok,router
sure,router
alright,router
ping,router
test,router
check if you're working,router
are you alive,router
version,router
info,router
find the config loader,query
where is the error handler,query
show me the router logic,query
what files import database,query
which functions call GetUser,query
list all routes,query
find all TODOs in the code,query
show the User struct definition,query
what's in the utils package,query
where is the middleware defined,query
find all test files,query
show me recent changes,query
what files did I modify,query
explain how the cache works,query
what does this function return,query
how many lines in main.go,query
where is CreateUser called,query
list all exported functions,query
what's the database connection string,query
show me the git history,query
add a new user model,editor
create CRUD endpoints for products,editor
implement JWT authentication,editor
fix null pointer panic,editor
update dependencies,editor
migrate to new API version,editor
add logging to all handlers,editor
refactor database connection,editor
write tests for payment service,editor
add validation to email field,editor
optimize slow query,editor
remove deprecated code,editor
add pagination support,editor
implement caching layer,editor
create migration for users table,editor
add env variable for timeout,editor
fix CORS headers,editor
update API documentation,editor
add health check endpoint,editor
implement rate limiting,editor
add database index,editor
create docker config,editor
setup CI pipeline,editor
add feature flag,editor
implement soft delete,editor
add batch processing,editor
create admin panel,editor
add export to CSV,editor
implement websocket handler,editor
setup nginx config,editor
how to structure a go project,research
best practices for error handling,research
compare gin vs echo,research
find libraries for image processing,research
how to implement rate limiting,research
what is the best way to handle passwords,research
research grpc vs rest performance,research
find examples of clean architecture,research
how to test http handlers in go,research
best way to manage migrations,research
how to handle concurrent requests,research
what are go generics,research
search for oauth2 libraries,research
compare redis vs memcached,research
how to profile go applications,research
find documentation on cobra,research
what is context in go,research
how to deploy go apps,research
research kubernetes best practices,research
find tutorial on websockets,research
what are the latest go features,research
how to implement graceful shutdown,research
research message queue options,research
find benchmarks for databases,research
how to handle file uploads,research
what is idempotency,research
research api versioning strategies,research
find examples of event sourcing,research
how to implement search,research
what is circuit breaker pattern,research
review the authentication code,review
check for race conditions,review
analyze performance bottlenecks,review
audit api endpoints,review
check for SQL injection,review
review error handling,review
look for code smells,review
check test coverage,review
review the database schema,review
analyze memory usage,review
check for goroutine leaks,review
review security headers,review
audit logging practices,review
check for hardcoded secrets,review
review API response structure,review
analyze query performance,review
check for unused code,review
review naming conventions,review
audit dependency versions,review
check for proper error messages,review
review validation logic,review
analyze code complexity,review
check for missing tests,review
review documentation,review
"audit configuration management",review
"run git diff",query
"execute git diff and analyze changes",query
"analyze git diff",query
"generate commit message from diff",query
"create commit message",query
"run git status",query
"check git log",query
"show git history",query
"display git diff",query
"execute ls command",query
"run make test",query
"execute docker ps",query
"run npm install",query
"check system status",query
"run tests",query
"execute command and see output",query
"run shell command",query
display all the html files in the current folder that have not been modified in the last 7*24 horus,query
Execute awk script script.awk with 2 arguments both file.txt and format the output as a table,query
Change permissions of mksdcard to 755,editor
search for all png files in a folder and copy them to another folder,editor
Force create a symbolic link named currentDir to newDir without dereferencing currentDir,editor
